Ticket,Open,Type,Volume,Symbol,Price,SL,TP,Close,Price,Swap,Commissions,Profit,Pips,"Trade duration in seconds"
64721384918397,"2025-09-23 17:21:51",buy,0.5,GBPUSD.sim,1.35157000,1.3508,0,"2025-09-23 18:51:19",1.35142000,0,-2.5,-7.50000000,-0.00015,5368
64721384916981,"2025-09-23 17:21:51",buy,0.25,GBPUSD.sim,1.35189000,1.3506,0,"2025-09-23 18:21:29",1.35184000,0,-1.255,-1.25000000,-0.00005,3578
64686234915483,"2025-09-23 16:58:46",buy,0.5,EURUSD.sim,1.17983000,1.1785,0,"2025-09-23 17:54:20",1.17965000,0,-2.5,-9.00000000,-0.00018,3334
6472138,"2025-09-23 17:21:51",buy,0.25,GBPUSD.sim,1.35172000,1.3512,0,"2025-09-23 17:49:50",1.35174000,0,-1.255,0.50000000,0.00002,1679
64686864913094,"2025-09-23 16:59:10",buy,0.75,GBPUSD.sim,1.35207500,1.3518,0,"2025-09-23 17:21:17",1.35177000,0,-3.77,-22.88000000,-0.00031,1327
6468686,"2025-09-23 16:59:10",buy,0.25,GBPUSD.sim,1.35150500,1.3507,0.00000000,"2025-09-23 17:10:32",1.35183000,0,-1.26,8.12000000,0.00033,682
6468623,"2025-09-23 16:58:46",buy,0.5,EURUSD.sim,1.18000000,1.1785,0,"2025-09-23 17:03:24",1.17977000,0,-2.5,-11.50000000,-0.00023,278
64612174904891,"2025-09-23 15:30:29",buy,1,EURUSD.sim,1.17971000,1.179,0,"2025-09-23 16:11:13",1.17966000,0,-5,-5.00000000,-0.00005,2444
64612174904658,"2025-09-23 15:30:29",buy,0.5,EURUSD.sim,1.17951000,1.1795,0,"2025-09-23 16:06:27",1.18032000,0,-2.5,40.50000000,0.00081,2158
6462760,"2025-09-23 16:01:23",buy,0.5,GBPUSD.sim,1.35310000,1.3523,0.00000000,"2025-09-23 16:05:53",1.35334000,0,-2.5,12.00000000,0.00024,270
6461217,"2025-09-23 15:30:29",buy,0.5,EURUSD.sim,1.17892000,1.1785,0,"2025-09-23 15:34:51",1.17913000,0,-2.5,10.50000000,0.00021,262
64555524898818,"2025-09-23 13:30:28",buy,0.75,EURUSD.sim,1.17964670,1.179,0,"2025-09-23 14:15:21",1.17952000,0,-3.755,-9.50000000,-0.00013,2693
6456581,"2025-09-23 14:03:28",buy,0.5,GBPUSD.sim,1.35139000,1.3512,0,"2025-09-23 14:13:49",1.35146000,0,-2.5,3.50000000,0.00007,621
6455552,"2025-09-23 13:30:28",buy,0.75,EURUSD.sim,1.17964670,1.17845,0,"2025-09-23 14:11:11",1.17990000,0,-3.755,19.00000000,0.00025,2443
6454742,"2025-09-23 13:16:00",buy,0.5,GBPUSD.sim,1.35130000,1.3498,1.35900000,"2025-09-23 13:56:18",1.35113000,0,-2.51,-8.50000000,-0.00017,2418
6452731,"2025-09-23 12:36:49",buy,1.5,EURUSD.sim,1.18046000,1.1784,1.20000000,"2025-09-23 13:25:38",1.17960000,0,-7.53,-129.00000000,-0.00086,2929
6444228,"2025-09-23 10:29:38",buy,0.75,EURUSD.sim,1.17873000,1.178,0.00000000,"2025-09-23 10:30:38",1.17933000,0,-3.76,45.00000000,0.00060,60
6346089,"2025-09-19 18:58:21",buy,0.5,EURUSD.sim,1.17517000,1.1744,0,"2025-09-19 19:06:21",1.17476000,0,-2.5,-20.50000000,-0.00041,480
6346192,"2025-09-19 19:00:39",buy,0.4,GBPUSD.sim,1.34848000,1.3474,0,"2025-09-19 19:06:16",1.34772000,0,-2,-30.40000000,-0.00076,337
6342343,"2025-09-19 17:57:51",buy,0.2,GBPUSD.sim,1.34822000,1.3463,1.35800000,"2025-09-19 18:41:45",1.34742000,0,-1,-16.00000000,-0.00080,2634
6342403,"2025-09-19 17:58:43",buy,0.75,EURUSD.sim,1.17481670,1.173,0.00000000,"2025-09-19 18:41:40",1.17423000,0,-3.77,-44.00000000,-0.00059,2577
6313624,"2025-09-19 09:42:18",buy,0.25,EURUSD.sim,1.17744000,1.1748,1.18800000,"2025-09-19 09:52:36",1.17675000,0,-1.26,-17.25000000,-0.00069,618
6169511,"2025-09-17 13:15:21",buy,0.5,EURUSD.sim,1.18354000,1.1835,1.19100000,"2025-09-17 21:08:57",1.19104000,0,-2.5,375.00000000,0.00750,28416
